charge,mass,radius,x,y,z
-1,35.453,1,10.26875,14.296250000000002,14.296250000000002
1,22.99,1,12.282500000000002,0.2,0.2
-1,35.453,1,14.296250000000002,2.2137500000000006,2.2137500000000006
1,22.99,1,12.282500000000002,0.2,4.227500000000001
-1,35.453,1,14.296250000000002,2.2137500000000006,6.241250000000002
1,22.99,1,12.282500000000002,0.2,8.255
-1,35.453,1,14.296250000000002,2.2137500000000006,10.26875
1,22.99,1,12.282500000000002,0.2,12.282500000000002
-1,35.453,1,14.296250000000002,2.2137500000000006,14.296250000000002
1,22.99,1,12.282500000000002,4.227500000000001,0.2
-1,35.453,1,14.296250000000002,6.241250000000002,2.2137500000000006
1,22.99,1,12.282500000000002,4.227500000000001,4.227500000000001
-1,35.453,1,14.296250000000002,6.241250000000002,6.241250000000002
1,22.99,1,12.282500000000002,4.227500000000001,8.255
-1,35.453,1,14.296250000000002,6.241250000000002,10.26875
1,22.99,1,12.282500000000002,4.227500000000001,12.282500000000002
-1,35.453,1,14.296250000000002,6.241250000000002,14.296250000000002
1,22.99,1,12.282500000000002,8.255,0.2
-1,35.453,1,14.296250000000002,10.26875,2.2137500000000006
1,22.99,1,12.282500000000002,8.255,4.227500000000001
-1,35.453,1,14.296250000000002,10.26875,6.241250000000002
1,22.99,1,12.282500000000002,8.255,8.255
-1,35.453,1,14.296250000000002,10.26875,10.26875
1,22.99,1,12.282500000000002,8.255,12.282500000000002
-1,35.453,1,14.296250000000002,10.26875,14.296250000000002
1,22.99,1,12.282500000000002,12.282500000000002,0.2
-1,35.453,1,14.296250000000002,14.296250000000002,2.2137500000000006
1,22.99,1,12.282500000000002,12.282500000000002,4.227500000000001
-1,35.453,1,14.296250000000002,14.296250000000002,6.241250000000002
1,22.99,1,12.282500000000002,12.282500000000002,8.255
-1,35.453,1,14.296250000000002,14.296250000000002,10.26875
1,22.99,1,12.282500000000002,12.282500000000002,12.282500000000002
-1,35.453,1,14.296250000000002,14.296250000000002,14.296250000000002
